chinese_,english
狂乱的子弹，仿佛在灼烧敌人的灵魂,Frenzied bullets seem to burn the soul of enemies
难得的长距离攻击散弹枪，但威力却没有因此减少分毫,A rare long-range shotgun，and its power is not reduced
强力射线散弹枪，令敌人胆寒的噩梦,Powerful ray shotgun，a nightmare for the enemy
射程能够达到1000m的长距离狙击枪,A sniper gun with a long range of 1000m
动能强，杀伤力大，抗风阻的强力枪械,Strong kinetic energy，high lethality and wind resistance
极其精密的步枪，枪口焰、噪音和后座力都被减少了很多,Sophisticated rifle with much reduced muzzle flame，noise and recoil.
高射击精度，又能够在恶劣的环境条件下能够工作的可靠枪械,Reliable firearms with high accuracy and working under harsh conditions
是特意为动物协会突击部队设计的反器材远程狙击步枪,Anti-material long-range sniper rifle designed for animal association assault force
它的的威力能与Kar98k毛瑟步枪相媲美，子弹的飞行速度比98K还快,With comparable power to Kar98k Mauser rifle but its bullet fly faster.
自动化很高的狙击枪，适合用作军用或警用狙击步枪,Highly automated sniper rifle，suitable for military or police
被它射中后，死亡可能是最不痛苦的选择,If shot by it，death may be the least painful option
因威力过大和隐蔽性太强而遭到共同管控的枪械,Under common control as they are too powerful and too concealed
就如同它的名字一样，超远的距离，超大的威力，他唯一的弱点就是它脆弱的主人,Long ranged with super power; Its only weakness is its fragile master
很简单的武器，不过设计精度很差,Very simple weapon，but its design precision is low
经济实用的高伤害武器,Economical and practical high-damage weapon
强大的射速射出穿透一切的小威力炮弹，没有生物可以挡住,Fire small unstoppable cannonballs that penetrate everything
向敌人发起冲锋时，它就是你最可靠的火力支援,It is your most reliable fire support when charging the enemy
威力强大的冲锋枪,Powerful submachine gun
战场上小型的支援武器，能轻松打掉敌人的火力点,Mini support weapons that easily crash enemies' firepower
它的威力和它的外形一样令人惊讶，因为发射的只是大号子弹,Firing only large bullets，its power is as surprising as its appearance.
便携式榴弹发射器，开火后就只能听到爆炸声,Portable grenade launcher; only the explosion sound can be heard after firing
它的敌人们给它起了一个外号，叫做火龙,It has a nickname as Fire Dragon
主要用于近距离打击坦克、装甲车辆和摧毁工事,Mainly used to strike tanks，armored vehicles and fortifications at close range
冒蓝火，哒哒哒的生命收割者,Blowing blue fire; the reaper of life
暴虐的威力能让敌人感受到神灵的怒火,Enemies feel the wrath of the gods from its power
他肆虐的地方，不仅仅是短暂的堙灭还有长达百年的辐射,The attacked area will not only suffer a short period of extinction but hundred years of radiation
护甲不错的防具,Good armor
融合了皮革与钢铁有较好的抗性,Made of leather and steel to have better resistance
拥有岩石般守护力量的外套，面对它，敌人会感到绝望,A jacket with high defense as the stone
外表看起来防御不太好，但是韧性很足哦,Though its defense is not so good，its toughness is strong.
怎么也擦不干净的战甲，穿上它会感到别样的寒冷,Never get cleaned; Have strange cold feeling when wearing it
特种部队专供，轻便高效的战甲,Light and efficient armor for special forces
帅气的战甲，防御力也还不错,Handsome armor with good defense
有莲花纹路的黑色战甲，强大的防御中透着一丝丝神秘气息,Black armor with lotus pattern
多功能战甲，能给拥有者提供不俗的防护力和支持,Multifunctional armor with decent protection and support
如它的名字一样，轻便整洁的外表下是可靠的防御力,It is a reliable defense under its light and tidy appearance
强大的防护力和隐蔽能力，令敌人胆寒,Enemies are frightened by its high defense and concealment
重量和防御力难以成正比，可以震慑敌人,Light weight but high defense. It frightens enemies.
全身铠甲拥有很强的防御力，,Full body armor has strong defense
最高科技，超高的防御力且拥有极快的速度,Of highest technology，ultra-high defense and extremely fast speed
厚重敦实的防御力似乎能抵挡一切伤害,Thick and solid; It seems to be able to resist all damage
钢铁制造的强力战甲,Powerful armor made of steel
帅气的盔甲，穿上它后仿佛能增强勇气,Handsome armor that seems to boost courage
轻薄的外形不会影响它的防御力，反而更适合战场隐蔽偷袭,The light and thin appearance will not affect its defense. More suitable for sneak raid
这是背叛了队友之人留下来的战甲，上面仿佛还残留着不甘心的亡魂,Left by traitors. It seems still have reconciled souls on it
帝国制式战甲,Empire Style Battlegear
轻便的样式不会影响战士在复杂地形中的发挥,Its lightweight style will not affect the fighter's performance in complex terrain
有些斑驳的战甲，通过它仿佛能感受到古代骑士的美德,A bit mottled armor;You can feel the virtues of ancient knights
高科技的动力战甲，提供不俗的防护还能提供动力支持,High-tech power armor，with good defense and power support
有些火焰似的斑纹，光鲜美丽的同时还有些强大的防御,With flame-like markings，it is bright，beautiful and of high defenses
至臻至上，无与伦比的防护力。,Provide unparalleled protection.
能够方便的与别人沟通,Able to communicate with others easily
穿上似乎就能增加医术,It seems to increase medical skills by wearing it
又叫套头衫，穿上去很有时尚范,Also called as Pullover. Looks very fashionable
牛仔必备的套装，洒脱帅气,A must-have suit for cowboys，Looks handsome.
不错的衣物，穿上去能让人感觉舒适,Nice comfortable clothing.
医生护士套装，似乎能增加医术,Doctor and nurse suit that seems to increase medical skills
又名凯夫拉防弹衣，是用有机纤维制造而成的,Made of organic fiber，it is also known as Kevlar body armor，
防雨防御，耐脏易洗的衣物,Rainproof，dirt-resistant and easy-to-wash
紧身轻便，据说它上面还留有传奇赛车手的气息,Tight and lightweight，with remaining breath of a legendary racer
略显夸张的造型下，涵盖着灵魂舞者不平凡的一生,Under slightly exaggerated appearance，it reveals the extraordinary life of a soul dancer
特工套装，将不起眼和逼格这两个冲突的特质包含在了一起,Special agent suit with conflicting features of inconspicuous and compelling.
有棱角的衣物，亦如它主人的内心,Angular clothing，just like its owner’s heart
在防御进攻的同时也能防尘防沙，,Prevents dust & sand while defending against attacks
一般的弹药也很难击穿,Can not penetrated by nomral ammoes
带有尖刺的头盔，必要时可以用头撞击敌人,Spiked helmet. Hit enemies with your head if necessary
有些厚重的口罩，但能防臭,Some heavy masks，but they can deodorize
行动感很强的头盔，戴上它似乎能提高人的行动力,It seems to improve mobility
橄榄球手专用，能够保护脑袋受到伤害,For rugby players，it can protect your head from injury
厚重的头盔能够减少爆炸带来的伤害,Heavy helmet can reduce the damage caused by explosion
最终武士的头盔，帅气的同时也会提供强力保护,The helmet of the ultimate samurai.  Handsome with strong protection
有些斑驳的头盔，据说上面携带者远古骑士的美德,A bit mottled helmets with the virtues of ancient knights
洁白无瑕的头盔，似乎上面有天马的灵魂,White and flawless helmet that seems to have the soul of Pegasus on it
帝国制式头盔,Empire style helmet
厚重的外表下，是机器动力的结晶，能够提供不俗的动力支持,With heavyweight，the machine provides remarkable power support
一顶拥有智慧的帽子,A hat with wisdom
拥有一定防御力的面罩，戴上之后你会觉得很酷,A mask with certain defense. It is cool to wear it
看起来你可以呼叫小弟，其实没啥用,It seems you can call for support，but it's useless
简约朴素的面具，不过可以稍微透气防火,Simple mask，but a bit breathable and fireproof
普普通通的帽子，可它的主人却有很多不平凡的经历,An ordinary hat，but its owner has extraordinary experiences
嚣张的外形，戴上它后内心会有不断地鼓励你去抢劫,Looks arrogant. It encourages you to rob
有些让人害怕的面罩,A bit scary mask
科技感很足面罩，戴上它能够提供多种技术支持,Mask with science sense that provides multiple technical support
帅气的贝雷帽，俊男美女的专属,Handsome beret，exclusive for good looking person
形似大哥大的通讯器材，重量会压塌你的脖子,Communication device that looks like a large old fashioned mobile，the weight will crush your neck
强力的器材，据说能给拥有者带来力量,Powerful equipment is said to bring strength to the owner
生化武器的噩梦，能够保护拥有者受到感染,The nightmare of biological and chemical weapons can protect the owner from infection
空洞的眼窝似乎有一丝丝的白火，据说那是死于非命的人不甘心地呐喊,There is fire in the eye，revealing the shouting of people who died unwillingly.
荒野的独行者最喜爱的衣服保暖防晒,The favorite clothes of the lone traveler in the wilderness to keep warm and sunscreen
对膝盖有特别防御的铠甲,Defensive armor for knees
有些斑驳的裤子，透露着它主人不甘于平凡的内心,Some mottled pants reveal the owner’s Extraordinary heart
医疗兵专属，据说能提高一定的医疗能力,Exclusive to medical soldiers，can improve medical capabilities
酷炫的外形，强力的保护,Cool appearance，with strong protection
蔚蓝的颜色，防水能力也很强,With azure color is also very waterproof
岩石裤甲，厚重敦实,Rock trousers，thick and solid
动感十足的裤甲,Sporty trousers
看上去有些古老的裤甲，穿上后似乎能听到不甘心地抱怨,Some ancient trousers，you can hear unreconciled complaints
特种部队专供裤甲，强大的防御力,For special forces with strong defense
天空部队的专属裤甲，防御力不错的同时行动也很方便,The exclusive for the sky unit，with defensive power and convenient action
绅士专属，修长的外形不会丝毫影响防御力的强大,Exclusive for gentlemen，the shape will not affect defense
非常敏捷，可以闪避大部分攻击,Very agile，can dodge most attacks
与传统裤子相比大幅增强了防御,Compared with traditional pants，the defense is greatly enhanced
传上去，你会觉得自己能跑得很快,Put it on，you will feel like you can run fast
厚重的外表，强大的防御,Heavy appearance，and strong defense
钢铁制造的腿甲，骑士的首选,Leg armor made of steel，the knight’s first choice
结实厚重的腿甲，穿上它能给人勇气,Strong and heavy leg armor，can give people courage
轻便的推荐，利于在战场上隐蔽杀敌,Light recommendation，good for concealing to kill enemies
背叛者的腿甲，上面有被它主人抛弃的亡灵,Leg armor of the traitor with undead abandoned by its owner
帝国制式腿甲,Empire-style leg armor
轻便的腿甲，方便人们在复杂地形中行走,Light leg armor，convenient for people to walk in complex terrain
有些斑驳的腿甲，穿上后似乎能感受到远古骑士的美德,Some mottled leg armor，you can feel the virtues of ancient knights
厚重的腿甲，可在机械动力的支持下，显得动感时足,The thick leg armor looks dynamic supported by mechanical power
有着烈焰花纹的腿甲，强大的防御令敌人感到无力,Leg armor with flame pattern，powerful defense makes the enemy feel weak
潮流拖鞋，但是现在好像感觉有点冷...,Trendy slippers，but it seems to feel a bit cold...
不太透气的板鞋,Low-breathable sneakers
穿上后能够增加人的弹跳力,After putting it on，it can increase the person's jumping ability
拉丁舞专用舞鞋，能够增加人的魅力,Special dance shoes for Latin，can increase people's charm
厚重的皮鞋，能够保护人们在荒野中的脚,Heavy Wild Walker can protect people's feet in the wilderness
强盗专属的鞋子,Exclusive shoes to a robber
穿上后，能减少人走路的疲惫感,After putting it on，it can reduce the tiredness of walking
鞋头有尖刺，是有一定攻击性的鞋子,The toe cap with spikes，is a bit aggressive
厚重的鞋子能够保护人免遭感染,Heavy shoes can protect people from infection
柔软轻便的足具，便于隐蔽偷袭敌人,Soft and light feet，easy to conceal to attack the enemy
鞋底带有独特的钉子，方便攀爬和在冰上行走,The sole has unique nails for climbing and walking on the ice
明星的鞋子，收藏价值极高,Celebrity shoes with high collection value
略显夸张的造型，掩盖不住舞者波折的一生,The slightly exaggerated shape cannot conceal the twists and turns of the dancer’s life
雨地里再也不怕湿脚了,No longer afraid of wet feet in the rain
行动比较缓慢的鞋,Slow-moving shoes
厚重的鞋子，更厚重的使它主人那颗甘于奉献的心灵,Heavier than these shoes is the dedication of its owner
轻便但不失防御力，精英的选择,Light and convenient but with defensive power，an elite choice
有些斑驳，有些厚重的鞋子，仿佛再说这它背后的沧桑,Some mottled and heavy shoes，as if to talk about the vicissitudes of life behind it
有趣的旱冰鞋，据说头一次穿上它的人都会载几个跟头,Interesting roller skates，the first time people put on them will carry a few somersaults
厚重的鞋子，能够保护它的主人受到爆炸伤害,Heavy shoes can protect their owner from explosion damage
最终武士的鞋子，酷炫，霸气,The ultimate samurai shoes，cool and domineering
帝国制式沙漠鞋，便于在沙漠中行走,Empire-style desert shoes，easy to walk in the desert
用巨兽皮制作的靴子，强大，厚重,Boots made of giant animal skins，strong and heavy
有些陈旧斑驳的靴子，穿上它仿佛能感受到远古骑士的美德,Some old mottled boots，wearing them as if you can feel the virtues of ancient knights
厚重的质感与机械动力的结合，能够提高人的行动速度,The combination of heavy texture and mechanical power can increase the speed of human action
临时创口处理贴,Temporary wound treatment paste
一针见效快速解毒,Quick detoxification with one shot
可以抵御一段时间的辐射干扰,Can withstand radiation interference for a period of time
危险的血液，可以提高人的潜力,Dangerous blood that can increase human potential
给寒冷的人们带来些温暖,Bring warmth to the cold people
出门行走必备之物,Necessary things for going out and walking
感冒退烧的首选，提神醒脑,The first choice for colds and fevers，refreshing
能够及时治疗轻微外伤,Able to treat minor trauma
穿越荒野的必备物，方便的随身医疗产品,A must-have for traversing the wilderness，convenient portable medical products
能够减少人们受到的辐射伤害,Can reduce radiation damage to people
精神药品，慎重使用,Psychotropic drugs，use with caution
心脏起搏器,Heart peacemaker
提前了解敌人方位,Locate the enemy in advance
清楚照亮前方的路,Clearly illuminate the road ahead
可以透彻的看见敌人的弱点,Can see the enemy’s weaknesses thoroughly
能将自己拉向目标,Can pull oneself towards the target
电子探矿器材，新时代的产物,Electronic prospecting equipment，the new era product
科技产品，有一定磁性的手套,Technological products，gloves with a certain degree of magnetism
有机械产品的必备之物，润滑机械减少摩擦损耗,There are essential things for mechanical products，lubricating machinery to reduce friction
有机械产品的必备之物，能够及时修复部分损耗,There are essential items for mechanical products，which can repair broken part
新兴科技产物，能投提供较全的敌人信息,Emerging tech products that can provide more comprehensive info about the enemy
高科技产物，隐蔽而小巧，善于获取保密信息,High-tech product，concealed and small，good at obtaining confidential info
热感型装置，是能够定位敌人的科技产物,Thermal device is a technological product that can locate the enemy
战略防护装置，保护我方重要物品,Strategic protective device to protect our important items
辅助性机器人，提供若干技术支持,Assistant robots，providing some technical support
粗糙的产物，攻击力不高，杀伤力也不强,Rough product，the attack power is not high，and the lethality is not strong
捕兽陷阱，越是挣扎越会受到伤害,Catching traps，the more you struggle，the more you get hurt
有剧毒，一定要小心,Be careful！Very toxic！
从古代猎人传承而来的神器物品。,A magical item passed down from ancient hunters.
和回旋镖类似但危险要大很多,Similar to boomerang but more dangerous
隐蔽的杀人利器,Concealed killer weapon
据说发明它的灵感来源于一类稀有昆虫，可惜现在已经很难找到了,The inspiration for its invention came from a kind of rare insects，but unfortunately they're hard to find now
强力的杀伤物品，每一个碎片仿佛能刺痛人的灵魂,Powerful lethality，every fragment seems to sting a person’s soul
带有辐射的飞镖，被击中后死亡是最不痛苦的选择,Dart with radiation，death after being hit is the least painful choice
变异领主的尖刺，有强烈的毒性,The spikes of the mutant lord，with strong poison
科技产物，灵活迅捷的机械狗,Technological product，flexible and fast mechanical dog
小心别被它埋伏到，不然可能就是四分五裂的结果,Be careful not to be ambush by it，or it may fall apart
简易的范围伤害用具,Simple range injury equipment
溶解成一滩液体,Dissolve into a pool of liquid
能够使敌人精神错乱，互相攻击,Can make the enemies deranged and attack each other
又呛又刺激的炸弹，他更注重让人丧失抵抗而不是杀伤,Choking and irritating bombs，it pays more attention to making people lose resistance rather than killing
残忍的武器，被它击中后，哪怕侥幸生还也会留下严重后果,After being hit by it，even if one survives by chance，it will leave serious sequelae.
爆炸后会溅起可燃性液体，令敌人痛不欲生,After explosion，flammable liquid will be splashed，making the enemy overwhelmed with sorrow
他拥有炫目的光芒，令人麻痹的痛苦,He has dazzling light，and paralyzing pain
能够短时间冻僵敌人,Can freeze the enemy for a short time
通过爆炸发出强烈引爆，真晕甚至击杀敌人,Detonate strongly，stun and even kill the enemy through the explosion
爆炸后会溅出腐蚀液体,Corrosive liquid will be splashed after explosion
爆炸后会产生幻觉强烈干扰精神甚至击杀敌人,After the explosion，it will produce hallucinations，strongly disturb the spirit and even kill the enemy
娱乐的好用具,Good equipment for entertainment
刻有名字的铭牌,Nameplate with engraved name
对于新人的祝福,Blessings for newcomers
带给人以最大的精神慰藉,Bring people the greatest spiritual comfort
里面藏着或快乐或痛苦的回忆,There are happy or painful memories in it
似乎已经听不到声音了,I can't hear the sound anymore
正面：克莱恩·莫雷蒂 95：CO~反面：安，我爱你。。,One side: Klein Moretti 95: CO~ Another side: Ann，I love you.
雪茄的好伴侣,A good companion for cigars
象征性大与实际意义的子弹,A bullet that is more symbolic than practical
它的主人是虔诚的基督教徒,Its owner is a devout Christian
闪亮亮的外表下流淌着它主人多年努力的汗水,The sweat of its owner's years of hard work is flowing under the shiny exterior
光亮美丽的戒指，比戒指更美的是它主人爱情,A bright ring，more beautiful than it is the love of its owner
并不厚重的书本，承载着几代人厚重的虔诚。,Books are not thick but carry the heavy piety of generations.
第一页简介：不要来废土。。。,Introduction to the first page: Don't come to wasteland. . .
结构密集的盾牌,Densely structured shield
精钢千锤百炼而成的盾牌,Shield made of hardened steel
不用担心它会不会不结实，只要你能承受它的重量,Don’t worry if it’s not strong，as long as you can bear its weight
强盗的专属，可惜它的主人对进攻的热爱远远大于防御,It‘s exclusive to robbers，but the owner loved attack more than defense
说起来令人忍俊不禁，它的主人往往把它当飞镖攻击敌人,It's funny that its owner often uses it as a dart to attack the enemy
用铁链将人和盾牌链接起来，粗糙的制作，却有着优秀的防御,Use iron chains to link people and shields，with rough craft，but excellent defense
结实的大盾仿佛能拦截每一颗子弹,The strong shield seems to be able to intercept every bullet
厚重的合金盾牌，战场生存的利器,Heavy alloy shield for survival on the battlefield
吹出强力的风改变弹道,Blow strong wind to change the trajectory
射线类武器的克星,The nemesis of ray weapons
这个盾牌像一条在喷火的龙头，比它外形更夸张的是它的防御力,Like a dragon head breathing fire. More exaggerated is its defensive power.
厚重结实的盾牌,A heavy and strong shield
格外轻盈的盾牌，但防御力很高,Pretty light shield，but with high defense
装备制作里程碑相关的翻译》↓,
解锁图纸,Unlock blueprint
售价提升,Value increase
制作耗时,Time Reduction
节约配件,Components Reduction
资源节省,Resources Reduction
高品质概率,Quality chance
装备类型相关的翻译》↓,
利刃,Sharp Edge
钝器,Blunt
弓弩,Crossbow
轻型武器,Light Weapon
步枪,Rifle
重型武器,Heavy Weapon
狙击枪,Sniper Rifle
霰弹枪,Shotgun
轻型护甲,Light Armor
重型护甲,Heavy Armor
便衣,Plain Clothes
头盔,Helmet
帽子,Hat
轻装裤,Light Pants
重装裤,Heavy Pants
鞋子,Shoes
靴子,Boots
药品,Medicine
工具,Tool
暗器,Concealed Weapon
投掷类,Throwing
首饰,Jewelry
盾牌,Shield
家具名字相关的翻译》↓,
地板1,Flooring1
地板2,Flooring2
地板3,Flooring3
墙壁1,Wall1
墙壁2,Wall2
初级柜台,Primary Counter
中级柜台,Middle Counter
高级柜台,Advanced Counter
小地毯,Small Carpet
大地毯,Large Carpet
武器板,Weapon Board
海报1,Poster1
海报2,Poster2
壁炉,Fireplace
墙饰1,Wall Decor1
墙饰2,Wall Decor2
油箱,Oil Trunk
子弹箱,Bullet Container
地牢1,Dungeon 1
地牢2,Dungeon 1
初级铁矿箱,Primary Iron Ore Cart
中级铁矿箱,Middle Iron Ore Cart
高级铁矿箱,Advanced Iron Ore Cart
初级木材架,Primary Wood Shelf
中级木材架,Middle Wood Shelf
高级木材架,Advanced Wood Shelf
初级皮革架,Primary Leather Shelf
中级皮革架,Middle Leather Shelf
高级皮革架,Advanced Leather Shelf
初级化学药剂柜,Primary Potion Cabinet
中级化学药剂柜,Middle Potion Cabinet
高级化学药剂柜,Advanced Potion Cabinet
初级钢材架,Primary Steel Rack
中级钢材架,Middle Steel Rack
高级钢材架,Advanced Steel Rack
初级橡胶架,Primary Rubber Rack
中级橡胶架,Middle Rubber Rack
高级橡胶架,Advanced Rubber Rack
初级布料柜,Primary Fabric Cabinet
中级布料柜,Middle Fabric Cabinet
高级布料柜,Advanced Fabric Cabinet
初级储油箱,Primary Oil Collector
中级储油箱,Middle Oil Collector
高级储油箱,Advanced Oil Collector
初级电路元件箱,Primary Electronics Box
中级电路元件箱,Middle Electronics Box
高级电路元件箱,Advanced Electronics Box
初级玻璃架,Primary Glass Shelf
中级玻璃架,Middle Glass Shelf
高级玻璃架,Advanced Glass Shelf
初级热武器货架,Primary Firearm Shelf
中级热武器货架,Middle Firearm Shelf
高级热武器货架,Advanced Firearm Shelf
初级冷兵器货架,Primary Medieval Weapon Shelf
中级冷兵器货架,Middle Medieval Weapon Shelf
高级冷兵器货架,Advanced Medieval Weapon Shelf
初级防具货架,Primary Armor Shelf
中级防具货架,Middle Armor Shelf
高级防具货架,Advanced Armor Shelf
初级散件货架,Primary Pieces Shelf
中级散件货架,Middle Pieces Shelf
高级散件货架,Advanced Pieces Shelf
初级保险柜,Primary Safe Vault
中级保险柜,Middle Safe Vault
高级保险柜,Advanced Safe Vault
家具描述相关的翻译》↓,
大家交钱交货的台子,A surface upon which deals are made and gold crosses palms.
一个供您存放铁的容器,A container to hold your personal reserve of iron.
一个供您存放木头的容器,A container to hold your personal reserve of wood.
一个供您存放皮革的容器,A container to hold your personal reserve of leather.
一个方便您存放化学药剂的柜子,A cabinet to hold your personal reserve of potion.
一个供您存放钢的架子,A rack to hold your personal reserve of steel.
一个方便您存放橡胶的铁架,A rack to hold your personal reserve of rubber.
一个方便您存放布料的好用柜子,A cabinet to hold your personal reserve of Fabric.
一个供您存放石油的铁箱,An iron box to hold your personal reserve of oil.
一个供您存放电路元件的容器,A container to hold your personal reserve of circuit elements.
一个供您存放玻璃的架子,A shelf to hold your personal reserve of glass.
用来展示几件大型武器的货架,A display stand that shows off several large weapons.
这个平面上可以放各种物品,A flat surface that can accommodate many different items types.
用来展示衣服或护具的简单木架,A simple wooden rack to display Fabrics or armor.
能够轻松放置许多小物品的轻松货架,A sturdy shelf that comfortably fits many small items.
用来存放您店铺里的所有物品。可以通过升级扩大空间,Stores all the items in your shop. Upgrade it for even more space.
英雄职业相关的翻译》↓,
武士,Samurai
护卫,Guard
精英护卫,Elite Guard
王牌护卫,Ace Guard
壁垒守卫,Shelter Guard
突击手,Assaulter
精英突击手,Elite Assaulter
王牌突击手,Ace Assaulter
毁灭战士,Doom
指挥官,Commander
精英指挥官,Elite Commander
王牌指挥官,Ace Commander
将军,General
猎人,Hunter
射手,Shooter
精英射手,Elite Shooter
王牌射手,Ace Shooter
传奇狙击手,Legendary Shooter
侦探,Detective
精英侦探,Elite Detective
王牌侦探,Ace Detective
黄金特工,Gold Agent
忍者,Ninja
精英忍者,Elite Ninja
王牌忍者,Ace Ninja
银翼杀手,Blade Runner
学者,Scholar
医生,Doctor
精英医生,Elite Doctor
王牌医生,Ace Doctor
战地天使,Battlefield Angel
教授,Professor
精英教授,Elite Professor
王牌教授,Ace Professor
传奇院士,Legend Academician
修士,Monk
精英修士,Elite Monk
王牌修士,Ace Monk
主教,Bishop
英雄职业描述相关的翻译》↓,
身强体壮的战士，是保护队伍的盾牌,A strong soldier who is shield to protect the team
比起一般的战士，更加擅长进行队伍保护,Compared with ordinary soldiers，they are better at team protection
身着重甲的护卫，可以抵挡大量伤害,Guards wearing heavy armor can resist a lot of damage
护卫中的精英，被人们视作保护神,The elite of the guard is regarded as the protector
像堡垒一样沉稳，能够守护一方城市的存在,As calm as shelter，they can guard the existence of the city
能抗能打，队伍中坚,They are the backbone of the team，able to resist and fight
经验丰富的突击手，可以从容应对任务,An experienced assaulter can handle tasks calmly
老练的突击手，带领队伍完成任务,A practised assaulter lead the team to complete the task
具备强大能力的突击手，被冠以“毁灭战士”之称号,A powerful assaulter，dubbed doom
从战士中选拔出具有指挥天赋的人才,Genius with commanding talents was selected from the soldiers
在数次战斗中展露头角的指挥官,A commander who has emerged in several battles
团队的头脑，可以熟练地应对各种情形下的战斗,Team mind，can deal with battles in various situations proficiently
最为杰出的指挥官，城市的领导者之一,The most outstanding commander，one of the leaders of the city
擅长在野外收集生存物资,Good at collecting survival supplies in the wild
准头格外好的猎人，专精设计,The hunter，is good at accurate aiming and designing
具有极佳的射击水平，百发百中,Has an excellent shooting skill，and hits every shot
杰出的射击水平已经让他声名远扬,Outstanding shooting skills have made him famous
射手们景仰的对象，已经成为了一个传说般的存在,Admired by shooters，has become a legend
具备强大的洞察力，能从环境中发现更多的细节,Have a strong insight，and can discover more details from the environment
已经利用自己出色的洞察力解决了数起事件，名声显露,Has made a name by solving several incidents with excellent insight
侦探中的王牌，被众人所寄予厚望的存在,The trump card among detectives，is high hopes for everyone
以侦探之名为掩护，实际上是杰出的特工,In the name of a detective，is actually an outstanding agent
被委以特殊使命的猎人，接受特殊的培养为忍者,A hunter entrusted with a special mission，and received special training as a ninja
接受了进一步培训的忍者，能力突出,Ninjas who have received further training and have outstanding abilities
经过长时间执行任务而生存下来的忍者，拥有可怕的能力,Ninjas who survived long missions have the strongest abilities
所有这些时刻，终将消失于时光中，一如眼泪消失在雨里，死亡的时刻到了。,All these moments will eventually disappear in time，just as tears disappear in the rain. The time for death has arrived.
知识的力量终将颠覆世界,The power of knowledge will eventually disrupt the world
已经掌握了些许医生知识的学者,Scholars who have mastered some knowledge of doctors
已经学会急救技能的医生,Doctors who have learned first aid skills
擅长抢救濒死状态的队友,Good at rescuing teammates who are near death
已经可以从死神手里成功抢夺无数生命的医生,A doctor who successfully saved many lives from the hands of death
掌握了科学理论知识的学者,A scholar who has mastered scientific theoretical knowledge
能言善辩，嘴炮不只是用来开玩笑,A good speaker and plead
已经掌握了精神层面能力的专业人士,Professionals who have mastered spiritual abilities
他的一举一动都将会是引导你走向深渊的来源,His every move will lead you to the abyss
已经有了信仰依靠的学者,Scholars who already have faith
坚信自己的信仰最终将救赎自己,Believe that your faith will eventually redeem you
将信仰成功化为无比巨大力量的修士,A monk who successfully turned his faith into great power
神最终将摧毁这片黑暗，带来光明！,God will eventually destroy this darkness and bring light!
天赋名字相关的翻译》↓,
狼之战意,The Spirit of the Wolf
象之成长,The Growth of the Elephant
獾之坚强,The Adamancy of the Badger
熊之守护屏障,The Guard of the Bear
鹿之连击,The Combo of the Deer
鹰之刃甲,The Claw of the Eagle
鲨之校准,
蛇之冲击,
狼之践踏,
象之重击,
獾之蛮牛冲撞,
熊之不可阻挡,
鹿之战争咆哮,
鹰之意志护盾,
鲨之横扫,
蛇之反击,
狼之致命打击,
象之坚韧体格,
獾之顽强成长,
熊之双重重击,
鹿之爆裂打击,
鹰之生化制剂,
鲨之霸体,
蛇之战斗意志,
狼之猛击,
象之勇气铠甲,
獾之坚硬皮肤,
熊之团结之心,
鹿之求生意志,
鹰之仇恨凝视,
鲨之巨力斩,
蛇之勇猛冲锋,
狼之有死无生,
象之震荡反击,
獾之坚守壁垒,
熊之生命链接,
鹿之嗜血无情,
鹰之狂野成长,
鲨之同归于尽,
蛇之天神下凡,
狼之绞杀,
象之破甲,
獾之急速攻击,
熊之狂刃,
鹿之炫目,
鹰之蓄力挥砍,
鲨之突袭,
蛇之急速连击,
狼之穿透射击,
象之割裂,
獾之会心一击,
熊之旋风,
鹿之弱点打击,
鹰之快速攻击,
鲨之炫目打击,
蛇之撕裂伤口,
狼之瞬身突袭,
象之疾风斩,
獾之利刃,
熊之切割,
鹿之闪避突袭,
鹰之蜂刺,
鲨之流血,
蛇之窃取,
狼之驱散,
象之嗜血狂欢,
獾之虐杀,
熊之无情,
鹿之追魂,
鹰之浴血回旋,
鲨之致命伤害,
蛇之狂怒,
狼之收割,
象之饮血,
獾之重金悬赏,
熊之暗影追杀,
鹿之铁血裁决,
鹰之断罪,
鲨之利刃切割,
蛇之杀手本能,
狼之精神穿刺,
象之专注,
獾之腐蚀液体,
熊之致死激光,
鹿之分裂导弹,
鹰之无情炮火,
鲨之静电印记,
蛇之地面雷区,
狼之生化波动,
象之饱和轰炸,
獾之沙尘暴,
熊之紧急支援,
鹿之致命能量,
鹰之寒冰屏障,
鲨之血流成河,
蛇之核弹,
狼之目标指引,
象之热血燃烧,
獾之地雷阵,
熊之寒冷风暴,
鹿之密集射击,
鹰之化学风暴,
鲨之剧毒瘟疫,
蛇之阳炎炸弹,
狼之噩梦粉尘,
象之黑洞爆发,
獾之枪火齐射,
熊之重力旋涡,
鹿之血肉渴望,
鹰之能量置换,
鲨之辐射风暴,
蛇之子弹倾泻,
狼之绝对零度,
象之多重斩杀,
獾之震荡冲击,
熊之腐蚀酸雾,
鹿之毁灭者导弹,
鹰之穿甲弹,
鲨之神罚,
副本名字相关的翻译》↓,
街道废墟,Street Ruins
地铁站,Metro Station
城郊森林,Suburban Forest
雪山避难所,Snow Mountain Shelter
沙漠营地,Desert Camp
副本等级效果相关的翻译》↓,
区域解锁,Area Unlocked
奖励提升,Reward Increased
资源解锁,Resource Unlocked
